model,param_under_test,cw_classes,q_norm,avg_tot_reward,avg_steps,avg_embb_outages,avg_urllc_delays,avg_residual_urllc_pkts
-1,0.1,0,0,-0.482,140.0,0.482,0.0,0.03
-1,0.2,0,0,-1.181,140.0,1.181,0.0,0.068
-1,0.3,0,0,-2.019,140.0,2.019,0.0,0.081
-1,0.4,0,0,-2.694,140.0,2.694,0.0,0.136
-1,0.5,0,0,-3.765,140.0,3.765,0.0,0.21
-1,0.1,1,0,-0.002,140.0,0.002,0.0,0.001
-1,0.2,1,0,-0.014,140.0,0.014,0.0,0.001
-1,0.3,1,0,-0.054,140.0,0.054,0.0,0.017
-1,0.4,1,0,-0.181,140.0,0.181,0.0,0.067
-1,0.5,1,0,-0.431,140.0,0.431,0.0,0.12
-1,0.1,2,0,-0.011,140.0,0.011,0.0,0.003
-1,0.2,2,0,-0.057,140.0,0.057,0.0,0.019
-1,0.3,2,0,-0.274,140.0,0.274,0.0,0.067
-1,0.4,2,0,-0.787,140.0,0.787,0.0,0.13
-1,0.5,2,0,-1.703,140.0,1.703,0.0,0.211
-1,0.1,3,0,-0.193,140.0,0.193,0.0,0.023
-1,0.2,3,0,-0.879,140.0,0.879,0.0,0.095
-1,0.3,3,0,-2.36,140.0,2.36,0.0,0.157
-1,0.4,3,0,-3.837,140.0,3.837,0.0,0.211
-1,0.5,3,0,-5.645,140.0,5.645,0.0,0.239
-1,0.1,4,0,-2.426,140.0,2.426,0.0,0.091
-1,0.2,4,0,-5.011,140.0,5.011,0.0,0.155
-1,0.3,4,0,-7.072,140.0,7.072,0.0,0.161
-1,0.4,4,0,-8.935,140.0,8.935,0.0,0.129
-1,0.5,4,0,-10.62,140.0,10.62,0.0,0.154
-1,0.1,5,0,-6.57,140.0,6.538,0.001,0.086
-1,0.2,5,0,-9.407,140.0,9.407,0.0,0.101
-1,0.3,5,0,-11.265,140.0,11.265,0.0,0.102
-1,0.4,5,0,-12.722,140.0,12.722,0.0,0.121
-1,0.5,5,0,-13.821,140.0,13.821,0.0,0.115
