model,param_under_test,cw_classes,q_norm,avg_tot_reward,avg_steps,avg_embb_outages,avg_urllc_delays,avg_residual_urllc_pkts
0,0.1,0,0.005,-4.381,140.0,4.381,0.0,0.0
0,0.2,0,0.005,-9.442,140.0,9.442,0.0,0.0
0,0.3,0,0.005,-14.371,140.0,14.371,0.0,0.0
0,0.4,0,0.005,-20.321,140.0,20.321,0.0,0.0
0,0.5,0,0.005,-24.833,140.0,24.833,0.0,0.0
0,0.1,1,0.005,-0.648,140.0,0.648,0.0,0.0
0,0.2,1,0.005,-2.488,140.0,2.488,0.0,0.0
0,0.3,1,0.005,-5.299,140.0,5.299,0.0,0.0
0,0.4,1,0.005,-8.989,140.0,8.989,0.0,0.0
0,0.5,1,0.005,-13.293,140.0,13.293,0.0,0.0
0,0.1,2,0.005,-3.123,140.0,3.123,0.0,0.0
0,0.2,2,0.005,-7.057,140.0,7.057,0.0,0.0
0,0.3,2,0.005,-11.461,140.0,11.461,0.0,0.0
0,0.4,2,0.005,-16.436,140.0,16.436,0.0,0.0
0,0.5,2,0.005,-21.401,140.0,21.401,0.0,0.0
0,0.1,3,0.005,-6.956,140.0,6.956,0.0,0.0
0,0.2,3,0.005,-14.077,140.0,14.077,0.0,0.0
0,0.3,3,0.005,-20.767,140.0,20.767,0.0,0.0
0,0.4,3,0.005,-27.446,140.0,27.446,0.0,0.0
0,0.5,3,0.005,-34.109,140.0,34.109,0.0,0.0
0,0.1,4,0.005,-10.812,140.0,10.812,0.0,0.0
0,0.2,4,0.005,-20.734,140.0,20.734,0.0,0.0
0,0.3,4,0.005,-30.028,140.0,30.028,0.0,0.0
0,0.4,4,0.005,-38.738,140.0,38.738,0.0,0.0
0,0.5,4,0.005,-46.451,140.0,46.451,0.0,0.0
0,0.1,5,0.005,-13.296,140.0,13.296,0.0,0.0
0,0.2,5,0.005,-25.417,140.0,25.417,0.0,0.0
0,0.3,5,0.005,-36.125,140.0,36.125,0.0,0.0
0,0.4,5,0.005,-45.91,140.0,45.91,0.0,0.0
0,0.5,5,0.005,-54.899,140.0,54.899,0.0,0.0
