model,param_under_test,cw_classes,q_norm,avg_tot_reward,avg_steps,avg_embb_outages,avg_urllc_delays,avg_residual_urllc_pkts
-1,0.1,0,0.005,-1.713,140.0,1.713,0.0,0.0
-1,0.2,0,0.005,-3.797,140.0,3.797,0.0,0.0
-1,0.3,0,0.005,-6.29,140.0,6.29,0.0,0.0
-1,0.4,0,0.005,-8.77,140.0,8.77,0.0,0.0
-1,0.5,0,0.005,-12.077,140.0,12.077,0.0,0.0
-1,0.1,1,0.005,-0.059,140.0,0.104,0.0,0.0
-1,0.2,1,0.005,-0.333,140.0,0.595,0.0,0.0
-1,0.3,1,0.005,-0.892,140.0,1.522,0.0,0.0
-1,0.4,1,0.005,-2.197,140.0,3.327,0.0,0.0
-1,0.5,1,0.005,-3.488,140.0,5.637,0.0,0.0
-1,0.1,2,0.005,-0.265,140.0,0.411,0.0,0.0
-1,0.2,2,0.005,-1.068,140.0,1.579,0.0,0.0
-1,0.3,2,0.005,-2.706,140.0,3.729,0.0,0.0
-1,0.4,2,0.005,-4.814,140.0,6.609,0.0,0.0
-1,0.5,2,0.005,-7.365,140.0,10.155,0.0,0.0
-1,0.1,3,0.005,-1.727,140.0,2.022,0.0,0.0
-1,0.2,3,0.005,-4.589,140.0,5.396,0.0,0.0
-1,0.3,3,0.005,-7.847,140.0,9.324,0.0,0.0
-1,0.4,3,0.005,-11.071,140.0,13.08,0.0,0.0
-1,0.5,3,0.005,-14.087,140.0,16.634,0.0,0.0
-1,0.1,4,0.005,-5.734,140.0,6.218,0.0,0.0
-1,0.2,4,0.005,-10.633,140.0,11.514,0.0,0.0
-1,0.3,4,0.005,-14.432,140.0,15.927,0.0,0.0
-1,0.4,4,0.005,-17.895,140.0,19.08,0.0,0.0
-1,0.5,4,0.005,-20.578,140.0,22.154,0.0,0.0
-1,0.1,5,0.005,-9.356,140.0,9.987,0.0,0.0
-1,0.2,5,0.005,-14.769,140.0,15.709,0.0,0.0
-1,0.3,5,0.005,-18.81,140.0,19.693,0.0,0.0
-1,0.4,5,0.005,-21.63,140.0,22.865,0.0,0.0
-1,0.5,5,0.005,-24.101,140.0,25.294,0.0,0.0
