model,param_under_test,cw_classes,q_norm,avg_tot_reward,avg_steps,avg_embb_outages,avg_urllc_delays,avg_residual_urllc_pkts
0,0.1,0,0.005,-9.14,130.0,4.124,0.153,0.283
0,0.2,0,0.005,-20.241,113.0,7.303,0.397,0.948
0,0.3,0,0.005,-30.18,91.0,8.64,0.659,1.924
0,0.4,0,0.005,-36.737,64.0,7.932,0.883,3.059
0,0.5,0,0.005,-38.411,43.0,6.288,0.986,3.977
0,0.1,1,0.005,-5.471,130.0,0.581,0.149,0.281
0,0.2,1,0.005,-13.475,115.0,1.905,0.353,0.891
0,0.3,1,0.005,-24.321,90.0,2.868,0.657,1.84
0,0.4,1,0.005,-31.861,64.0,3.149,0.881,3.045
0,0.5,1,0.005,-34.737,43.0,2.791,0.98,4.017
0,0.1,2,0.005,-7.527,131.0,2.949,0.14,0.278
0,0.2,2,0.005,-17.487,114.0,5.434,0.368,0.864
0,0.3,2,0.005,-28.153,90.0,6.726,0.656,1.953
0,0.4,2,0.005,-34.893,65.0,6.431,0.872,3.012
0,0.5,2,0.005,-37.433,44.0,5.323,0.985,3.939
0,0.1,3,0.005,-10.894,130.0,6.293,0.141,0.28
0,0.2,3,0.005,-22.885,114.0,10.961,0.366,0.893
0,0.3,3,0.005,-34.376,87.0,12.012,0.686,2.003
0,0.4,3,0.005,-40.054,65.0,11.437,0.878,2.968
0,0.5,3,0.005,-40.679,43.0,8.747,0.98,3.957
0,0.1,4,0.005,-14.741,131.0,9.938,0.147,0.258
0,0.2,4,0.005,-28.63,114.0,16.302,0.377,0.834
0,0.3,4,0.005,-39.287,89.0,18.053,0.653,1.839
0,0.4,4,0.005,-44.607,65.0,16.294,0.869,2.936
0,0.5,4,0.005,-44.547,44.0,12.719,0.978,3.895
0,0.1,5,0.005,-16.742,130.0,12.178,0.14,0.273
0,0.2,5,0.005,-32.299,113.0,19.881,0.384,0.928
0,0.3,5,0.005,-42.276,90.0,22.042,0.62,1.843
0,0.4,5,0.005,-48.354,66.0,19.698,0.878,3.026
0,0.5,5,0.005,-45.638,41.0,13.728,0.981,3.934
