model,param_under_test,cw_classes,q_norm,avg_tot_reward,avg_steps,avg_embb_outages,avg_urllc_delays,avg_residual_urllc_pkts
0,0.1,0,0.005,-0.857,140.0,0.845,0.0,0.006
0,0.2,0,0.005,-2.783,140.0,2.745,0.0,0.017
0,0.3,0,0.005,-4.976,140.0,4.888,0.0,0.062
0,0.4,0,0.005,-9.049,140.0,8.862,0.0,0.174
0,0.5,0,0.005,-13.48,140.0,13.084,0.0,0.477
0,0.1,1,0.005,-0.008,140.0,0.0,0.0,0.0
0,0.2,1,0.005,-0.033,140.0,0.0,0.0,0.0
0,0.3,1,0.005,-0.09,140.0,0.002,0.0,0.011
0,0.4,1,0.005,-0.212,140.0,0.01,0.0,0.09
0,0.5,1,0.005,-0.484,140.0,0.061,0.0,0.34
0,0.1,2,0.005,-0.014,140.0,0.0,0.0,0.0
0,0.2,2,0.005,-0.074,140.0,0.033,0.0,0.004
0,0.3,2,0.005,-0.312,140.0,0.216,0.0,0.019
0,0.4,2,0.005,-0.893,140.0,0.699,0.0,0.086
0,0.5,2,0.005,-2.647,140.0,2.242,0.0,0.349
0,0.1,3,0.005,-0.316,140.0,0.3,0.0,0.0
0,0.2,3,0.005,-1.502,140.0,1.459,0.0,0.023
0,0.3,3,0.005,-4.338,140.0,4.248,0.0,0.075
0,0.4,3,0.005,-9.304,140.0,9.13,0.0,0.26
0,0.5,3,0.005,-16.784,140.0,16.447,0.0,0.571
0,0.1,4,0.005,-4.055,140.0,4.043,0.0,0.02
0,0.2,4,0.005,-11.584,140.0,11.549,0.0,0.096
0,0.3,4,0.005,-21.716,140.0,21.637,0.0,0.239
0,0.4,4,0.005,-33.675,140.0,33.514,0.0,0.44
0,0.5,4,0.005,-46.316,140.0,45.969,0.0,0.77
0,0.1,5,0.005,-13.988,140.0,13.98,0.0,0.06
0,0.2,5,0.005,-27.818,140.0,27.784,0.0,0.16
0,0.3,5,0.005,-41.455,140.0,41.368,0.0,0.298
0,0.4,5,0.005,-55.63,140.0,55.429,0.0,0.532
0,0.5,5,0.005,-69.168,140.0,68.735,0.0,0.958
