model,param_under_test,cw_classes,q_norm,avg_tot_reward,avg_steps,avg_embb_outages,avg_urllc_delays,avg_residual_urllc_pkts
-1,0.1,0,0,-1.439,140.0,1.439,0.0,0.001
-1,0.2,0,0,-2.969,140.0,2.969,0.0,0.001
-1,0.3,0,0,-4.393,140.0,4.393,0.0,0.002
-1,0.4,0,0,-5.968,140.0,5.968,0.0,0.002
-1,0.5,0,0,-7.321,140.0,7.321,0.0,0.011
-1,0.1,1,0,-0.104,140.0,0.104,0.0,0.0
-1,0.2,1,0,-0.442,140.0,0.442,0.0,0.001
-1,0.3,1,0,-1.193,140.0,1.193,0.0,0.002
-1,0.4,1,0,-2.283,140.0,2.283,0.0,0.004
-1,0.5,1,0,-3.637,140.0,3.637,0.0,0.006
-1,0.1,2,0,-0.369,140.0,0.369,0.0,0.0
-1,0.2,2,0,-1.305,140.0,1.305,0.0,0.003
-1,0.3,2,0,-2.696,140.0,2.696,0.0,0.001
-1,0.4,2,0,-4.368,140.0,4.368,0.0,0.007
-1,0.5,2,0,-5.901,140.0,5.901,0.0,0.008
-1,0.1,3,0,-1.633,140.0,1.633,0.0,0.0
-1,0.2,3,0,-3.902,140.0,3.902,0.0,0.001
-1,0.3,3,0,-6.347,140.0,6.347,0.0,0.002
-1,0.4,3,0,-8.219,140.0,8.219,0.0,0.006
-1,0.5,3,0,-9.755,140.0,9.755,0.0,0.007
-1,0.1,4,0,-4.784,140.0,4.784,0.0,0.003
-1,0.2,4,0,-8.052,140.0,8.052,0.0,0.003
-1,0.3,4,0,-10.846,140.0,10.846,0.0,0.003
-1,0.4,4,0,-12.451,140.0,12.451,0.0,0.019
-1,0.5,4,0,-13.608,140.0,13.608,0.0,0.014
-1,0.1,5,0,-7.757,140.0,7.757,0.0,0.003
-1,0.2,5,0,-11.616,140.0,11.616,0.0,0.001
-1,0.3,5,0,-13.565,140.0,13.565,0.0,0.008
-1,0.4,5,0,-15.199,140.0,15.199,0.0,0.016
-1,0.5,5,0,-16.17,140.0,16.17,0.0,0.017
