model,param_under_test,cw_classes,q_norm,avg_tot_reward,avg_steps,avg_embb_outages,avg_urllc_delays,avg_residual_urllc_pkts
0,0.1,0,0,-0.793,140.0,0.793,0.0,0.0
0,0.2,0,0,-1.533,140.0,1.533,0.0,0.0
0,0.3,0,0,-2.143,140.0,2.143,0.0,0.0
0,0.4,0,0,-3.317,140.0,3.317,0.0,0.0
0,0.5,0,0,-4.33,140.0,4.33,0.0,0.0
0,0.1,1,0,0.0,140.0,0.0,0.0,0.0
0,0.2,1,0,-0.007,140.0,0.007,0.0,0.0
0,0.3,1,0,-0.062,140.0,0.062,0.0,0.0
0,0.4,1,0,-0.243,140.0,0.243,0.0,0.0
0,0.5,1,0,-0.608,140.0,0.608,0.0,0.0
0,0.1,2,0,-0.021,140.0,0.021,0.0,0.0
0,0.2,2,0,-0.132,140.0,0.132,0.0,0.0
0,0.3,2,0,-0.544,140.0,0.544,0.0,0.0
0,0.4,2,0,-1.271,140.0,1.271,0.0,0.0
0,0.5,2,0,-2.243,140.0,2.243,0.0,0.0
0,0.1,3,0,-0.493,140.0,0.493,0.0,0.0
0,0.2,3,0,-1.685,140.0,1.685,0.0,0.0
0,0.3,3,0,-3.424,140.0,3.424,0.0,0.0
0,0.4,3,0,-4.857,140.0,4.857,0.0,0.0
0,0.5,3,0,-6.464,140.0,6.464,0.0,0.0
0,0.1,4,0,-3.395,140.0,3.395,0.0,0.0
0,0.2,4,0,-6.25,140.0,6.25,0.0,0.0
0,0.3,4,0,-8.368,140.0,8.368,0.0,0.0
0,0.4,4,0,-9.686,140.0,9.686,0.0,0.0
0,0.5,4,0,-11.05,140.0,11.05,0.0,0.0
0,0.1,5,0,-7.107,140.0,7.107,0.0,0.0
0,0.2,5,0,-10.139,140.0,10.139,0.0,0.0
0,0.3,5,0,-11.963,140.0,11.963,0.0,0.0
0,0.4,5,0,-13.288,140.0,13.288,0.0,0.0
0,0.5,5,0,-14.298,140.0,14.298,0.0,0.0
